pchembl_value,canonical_smiles
5.7,Cn1cc(-c2nc3cnc(N4CCOCC4)nc3n(C3CC3)c2=O)c2ccccc21
5.1,COc1ccccc1-c1cncnc1N(C)Cc1ccco1
5.0,C[C@H](N[C@@H](C)CCc1ccccc1)[C@H](O)c1ccc(O)cc1
6.1,O[C@@H](c1cc([C@@]23C[C@H]4CC[C@@H]2C[C@H](C4)C3)nc2c(Cl)cc(Cl)cc12)[C@@H]1CCCCN1
4.7,O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3cnccn3)CC2)C1
5.4,CN(C)CCNc1ccccn1
5.6,COc1ccc2[nH]cc(CCNc3cc(-c4ccccc4Cl)ncn3)c2c1
6.2,CCCC1c2c(ccc3ccccc23)Oc2ccc3ccccc3c21
5.5,O=C(O)CCCc1ccc2ccc3ccccc3c2c1
5.3,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4
4.6,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
6.8,O=C(c1ccco1)N1CCC2(CC1)CN(c1ccc(-c3ccccc3)cc1)C2
5.7,Cc1ccc(N(Cc2ccccc2)Cc2ccccc2)cc1
5.3,Clc1ccccc1-c1nc(Nc2ccncc2)c2ccccc2n1
4.9,CS(=O)(=O)c1ccc(Cn2c3c(c4cc(F)cc(F)c42)CCC[C@H]3CC(=O)O)cc1
5.9,COC(=O)[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccccc1
5.8,Cc1nc2cnc(N(C)C)nc2n(Cc2ccc(F)cc2)c1=O
7.5,Cn1c(=O)c2nc(CCCCc3nc4c(=O)n(C)c(=S)n(C)c4[nH]3)[nH]c2n(C)c1=S
4.9,c1ccc(CNc2ncncc2-c2cccnc2)cc1
5.1,Fc1cccc(Cl)c1/C=N\N=C1c2ccccc2-c2ccccc21
6.6,c1ccc(Nc2ncncc2-c2ccc3c(c2)OCO3)cc1
6.1,c1csc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1
5.5,COc1ccccc1CCn1c(=O)c(CCc2ccccc2)nc2cncnc21
5.3,O=C1[C@@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/OC[C@@H](O)COCc4ccco4)[C@H]3CC[C@H]2C(=O)N1c1ccc(F)cc1F
4.5,COc1cc2c(cc1OC)-c1c/c(=N/c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2
4.9,O=c1cc(-c2ccccc2O)oc2ccc3ccccc3c12
4.9,COCCn1c(=O)c(CCc2ccccc2)nc2cnc(Oc3ccccc3)nc21
5.1,COc1ccc2[nH]cc(CCNc3ncnc4ccc(-c5cccc(C#N)c5)cc34)c2c1
4.5,Cn1cc(-c2nc3cncnc3n(CCN)c2=O)c2ccccc21
5.1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5.4,Cc1noc(C)c1-c1nccc(-n2ccnc2)n1
6.6,COc1ccc2[nH]cc(CCNc3ncncc3-c3ccccc3C(F)(F)F)c2c1
4.6,Clc1ccccc1-c1nc(NCCN2CCOCC2)c2ccccc2n1
5.0,Cc1cc(C(=O)N[C@@H](c2ccccc2)[C@]2(C)C[C@H]2[C@@H](C)C(=O)Nc2ccc3ccccc3c2)n(C)n1
4.7,O=C(Nc1cccc(F)c1)N1CCCC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1
5.7,CCCCCCC(=O)Cc1cc(OC)c(OC)cc1/C=C(/C(C)=O)C(=O)OC
6.0,Cc1cc(Cc2cc(Cc3cc(C)cc(C(C)(C)C)c3O)c(C)cc2C)c(O)c(C(C)(C)C)c1
6.6,COc1ccc2[nH]cc(CCNc3ncncc3-c3ccoc3)c2c1
5.1,O=c1c(-c2cccs2)nc2cncnc2n1Cc1ccc(F)cc1
5.5,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3
5.3,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@H]3[C@@H](CC[C@@]21C)[C@]1(C)CC[C@H](O)C[C@@H]1C[C@@H]3O
6.4,COc1cccc(-c2cc(NCc3cnc(C)cn3)ncn2)c1
4.6,COc1cccc(-c2nc(NCc3cnc(C)cn3)c3ccccc3n2)c1
4.4,COCCn1c(=O)c(-c2cccc(C#N)c2)nc2cnc(Oc3ccc(OC)cc3)nc21
5.1,COc1ccccc1-c1ccc2ncnc(NC3CCNCC3)c2c1
7.0,COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@H]2CO/N=C(/C)CCC(=O)OC[C@@H]2O[C@H](c3ccccc3)C=C[C@@H]2Oc2ccc(OC)cc2)cc1
4.7,CCNc1ncc2ncc(=O)n(Cc3cccs3)c2n1
5.1,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
5.4,[N-]=[N+]=CC(=O)COC(=O)c1ccccc1
4.9,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
5.4,N#Cc1cccc(-c2nccc(NCc3cccs3)n2)c1
4.8,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1
4.4,Cn1cccc1C(=O)N1CCC2(CCCN(C(c3ccccc3)c3ccccc3)C2)CC1
5.0,COc1ccc(C(=O)N2CCC[C@@]3(CCN(c4ccccc4)C3)C2)cc1
4.9,FC(F)(F)c1ccccc1-c1cncnc1-n1ccnc1
4.6,Cn1c(=O)c(CCc2ccccc2)nc2cnc(Oc3ccccc3)nc21
4.8,Cc1cnc(CNc2ncncc2-c2ccc(N(C)C)cc2)cn1
4.4,CS(=O)(=O)Nc1cccc(-c2cc(NCc3ccccc3)ncn2)c1
5.4,Cn1c(=O)c2c(nc(N/N=C\c3ccccc3C(=O)O)n2C)n(C)c1=O
5.2,C[C@@](N)(/C=C\c1ccccc1)C(=O)O
