pchembl_value,canonical_smiles
5.4,O=C(O)c1ccc(C(=O)O)c2c(C(=O)O)ccc(C(=O)O)c12
5.4,COc1cccc(Nc2ncc3nc(-c4ccc(Cl)cc4)c(=O)n(C4CC4)c3n2)c1
4.9,CCN(C(=O)Cc1ccccc1OC)c1nnc(-c2ccncc2)s1
7.7,O=[N+]([O-])c1cc(Cl)cc2c1nc(NCCO)c1ccccc12
4.8,CC(C)NC(=O)N1CCC2(CCNCC2)CC1
5.05,O=C(CCl)Nc1ccc(Oc2cnc3ccccc3n2)cc1
6.75,c1ccc2c(CSCCc3ccncc3)cccc2c1
4.8,Cc1ccc(-n2c(=O)cc(N3CCC(C)CC3)[nH]c2=O)cc1
5.5,COc1ccccc1CNC(=O)CCN1C(=O)COc2ccc(C)cc21
4.4,N[C@]1(C(=O)O)CCc2cc(P(=O)(O)O)ccc21
6.2,COC(=O)c1cc2c(cn1)[nH]c1ccccc12
5.45,CCc1ccc(-c2cc(C(=O)NCc3ccco3)c3ccccc3n2)s1
5.1,CN(C)C(=O)c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)cc1
5.35,S=C1N(c2ccccc2)C(c2ccc(Cl)cc2)N2CCCN12
4.8,COc1ccc(CNc2cc(-c3ccoc3)ncn2)c(OC)c1
5.4,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
5.9,Oc1c(CN2CCN(c3ccccc3)CC2)cc(Br)c2cccnc12
4.7,O=C(NCc1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]
5.4,CCOC(=O)N1CCN(C(=O)Cc2ccsc2)CC1
5.25,Fc1ccc(N=C(S)NCCc2ccccc2)c(F)c1F
6.25,C=CCN(CC=C)C(=S)NC(=O)c1ccc(OC)c(Br)c1
5.6,CSc1nsc(SC)c1NC(=O)Nc1ccccn1
4.4,Cc1cc(C)c(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c(C)c1
4.95,CCOc1cc(/C=N/NC(=O)COc2cccc(C)c2)ccc1OC(=O)c1cccs1
6.0,CSC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)S1
4.95,COc1ccc(NC(=O)CSc2nncn2C)c([N+](=O)[O-])c1
4.8,CN(C)CC/C=C1\c2ccccc2COc2ccccc21
5.5,N=C(N)NC(=N)Nc1ccccc1.Sc1nc2ccccc2s1
4.65,O=C(NNC(=S)NCc1ccco1)c1ccc(Cl)s1
5.7,CCNc1ncc2nc(CCc3ccccc3)c(=O)n(CCOC)c2n1
4.6,Cn1c(Cc2cccc3ccccc23)nnc1SCC(=O)N1CCN(c2ccccc2)CC1
5.6,O=[N+]([O-])c1ccc(Cl)c(/C=N/N2CCN(Cc3ccccc3)CC2)c1
4.85,CCOC(=O)CN(c1ccccn1)S(=O)(=O)c1ccccc1
5.55,CC(=O)Nc1ccc(OCC(O)Cn2c3ccccc3c3ccccc32)c(C)c1
6.1,N=C(N)N/N=C(\c1ccc(Cl)cc1)C1CC1
4.8,CCOc1ccc(NC(=S)NC(=O)/C=C/c2ccc(C)cc2)c([N+](=O)[O-])c1
4.6,O=C(c1ccccc1)c1c[nH]c(C(=O)NCCCN2CCOCC2)c1
5.3,Cc1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1
5.5,N=C(N)N/N=C(/c1ccccc1)c1ccc(O)cc1O
6.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
6.9,C#CCSc1nnc(-c2sc3ccccc3c2Cl)o1
4.95,O=C(Nc1ccccn1)c1ccco1
5.4,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
5.05,Cc1ccc2nc(NC(=O)CSCC(=O)OCC(=O)c3ccc(Br)cc3)sc2c1
5.0,COc1ccccc1CNc1ccnc(-c2ccccc2C(F)(F)F)n1
5.1,Cc1cc2cc(CNC(=O)CC(C)C)ccc2n1C
4.6,CCOc1cccc(C(=O)C2=C(O)C(=O)N(Cc3ccco3)C2c2ccncc2)c1
5.35,CCc1ccc(NC(=O)Cn2nc(C(F)(F)F)c3c2CCC3)cc1
4.6,CC(=O)NCCNc1ncncc1-c1ccccc1CN(C)C
5.55,Cc1ccc(Oc2nc(-c3ccccc3)ncc2S(C)(=O)=O)cc1
4.9,CC[C@H](Cc1c(I)cc(I)c(N)c1I)C(=O)O
4.6,Cc1ccc(C)c(C(=O)C2=C(O)C(=O)N(CCN3CCOCC3)C2c2ccco2)c1
5.5,CCCCCn1nc(-c2ccccc2)c2nc3ccccc3nc21
4.6,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc(CN3CCCC3)cc2)cc1
5.8,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12
5.05,CCOc1ccccc1OCC(=O)Nc1ccc(Cl)cc1Cl
6.1,N#CCCn1c(=O)c(-c2ccccc2)nc2cnc(Nc3ccccc3)nc21
4.85,CSC(=N)N/N=C/c1ccc([N+](=O)[O-])cc1.I
4.9,CN(C)c1ncc2ncc(=O)n(CCC#N)c2n1
5.2,Cc1ccc(OCC(=O)Nn2cnc3ccccc32)cc1
6.0,COc1ccc2[nH]cc(CCNc3cc(-c4ccc5c(c4)OCO5)ncn3)c2c1
5.3,CC1CCCC(C)N1C(=O)c1cc(-c2ccc(Cl)c(Cl)c2)on1
4.85,Cc1ccccc1CSc1nsc(N)n1
5.45,Cc1ccc(CSC2=CS(=O)(=O)c3ccccc3N2)cc1
4.8,O=C(Oc1ccccc1)N1CCC2(CCCN(c3ccccc3)C2)CC1
6.4,Cc1cnc(CNc2ncnc3ccc(-c4cccc(C#N)c4)cc23)cn1
4.8,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
4.8,Cc1cnc(CNc2cc(-c3cccc(C#N)c3)ncn2)cn1
